"Table 1. Per Capita Personal Income, by County, 2019–2021",,,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,,
,Dollars,,,Rank in state,Percent change,,Rank in state,
Stark,"63,393","61,563","62,553",40,-2.9,1.6,44,ND
Steele,"64,659","87,451","86,280",3,35.2,-1.3,48,ND
Stutsman,"52,206","59,353","61,388",41,13.7,3.4,39,ND
Towner,"58,502","86,111","80,665",7,47.2,-6.3,53,ND
Traill,"54,988","64,735","65,364",35,17.7,1.0,45,ND
Walsh,"50,715","61,427","65,961",33,21.1,7.4,22,ND
Ward,"55,233","57,047","59,893",43,3.3,5.0,33,ND
Wells,"58,274","76,369","82,108",4,31.1,7.5,21,ND
Williams,"66,244","61,077","63,689",38,-7.8,4.3,37,ND
,,,,,,,,
Ohio,"50,035","53,545","56,879",--,7.0,6.2,--,OH
Adams,"35,806","40,100","43,092",82,12.0,7.5,10,OH
Allen,"43,618","47,314","50,353",41,8.5,6.4,46,OH
Ashland,"39,376","42,813","45,594",74,8.7,6.5,43,OH
Ashtabula,"39,535","43,074","46,280",68,9.0,7.4,11,OH
Athens,"35,910","38,491","40,663",86,7.2,5.6,76,OH
Auglaize,"47,864","51,426","54,964",20,7.4,6.9,30,OH
Belmont,"41,870","42,535","45,375",76,1.6,6.7,34,OH
Brown,"39,149","42,639","45,795",71,8.9,7.4,14,OH
Butler,"49,578","52,403","55,636",18,5.7,6.2,55,OH
Carroll,"41,253","45,217","48,319",54,9.6,6.9,31,OH
Champaign,"42,488","47,064","50,151",42,10.8,6.6,40,OH
Clark,"41,168","44,990","47,929",57,9.3,6.5,42,OH
Clermont,"57,898","61,442","64,895",6,6.1,5.6,78,OH
Clinton,"45,799","48,335","52,090",34,5.5,7.8,5,OH
Columbiana,"39,393","42,931","45,580",75,9.0,6.2,54,OH
Coshocton,"36,206","39,883","42,403",84,10.2,6.3,50,OH
Crawford,"38,215","42,508","45,755",72,11.2,7.6,7,OH
Cuyahoga,"55,170","58,767","62,790",8,6.5,6.8,32,OH
Darke,"43,415","47,615","51,549",37,9.7,8.3,3,OH
Defiance,"41,542","45,046","47,933",56,8.4,6.4,47,OH
Delaware,"76,803","80,000","83,603",1,4.2,4.5,86,OH
Erie,"55,178","54,141","58,239",16,-1.9,7.6,9,OH
Fairfield,"48,415","52,052","55,185",19,7.5,6.0,59,OH
Fayette,"39,499","45,321","47,851",58,14.7,5.6,79,OH
Franklin,"51,386","55,376","58,689",14,7.8,6.0,62,OH
Fulton,"46,220","49,896","52,995",29,8.0,6.2,51,OH
Gallia,"41,574","44,973","47,674",59,8.2,6.0,60,OH
Geauga,"71,640","74,087","78,294",2,3.4,5.7,74,OH
Greene,"52,189","55,300","58,363",15,6.0,5.5,81,OH
Guernsey,"41,970","45,838","48,667",52,9.2,6.2,53,OH
Hamilton,"60,698","64,043","67,845",4,5.5,5.9,64,OH
Hancock,"51,102","55,871","58,966",12,9.3,5.5,80,OH
Hardin,"33,937","37,515","40,636",87,10.5,8.3,2,OH
Harrison,"40,834","43,497","45,968",70,6.5,5.7,73,OH
Henry,"44,961","49,383","52,568",31,9.8,6.4,44,OH
Highland,"37,462","41,304","44,454",77,10.3,7.6,8,OH
Hocking,"39,909","43,539","46,421",65,9.1,6.6,36,OH
Holmes,"47,387","50,516","54,118",26,6.6,7.1,22,OH
Huron,"40,967","44,947","48,213",55,9.7,7.3,19,OH
Jackson,"36,620","40,658","42,680",83,11.0,5.0,85,OH
Jefferson,"40,616","44,238","47,413",61,8.9,7.2,21,OH
Knox,"45,128","48,648","52,034",35,7.8,7.0,27,OH
Lake,"52,503","55,688","58,960",13,6.1,5.9,66,OH
Lawrence,"40,440","43,730","46,838",63,8.1,7.1,23,OH
Licking,"47,531","51,377","54,525",23,8.1,6.1,56,OH
Logan,"42,969","47,329","50,151",42,10.1,6.0,63,OH
Lorain,"48,387","51,518","54,452",24,6.5,5.7,72,OH
Lucas,"47,730","51,088","54,105",27,7.0,5.9,65,OH
Madison,"42,785","47,359","50,124",44,10.7,5.8,68,OH
Mahoning,"44,241","47,903","50,968",38,8.3,6.4,48,OH
Marion,"37,356","40,780","43,814",79,9.2,7.4,12,OH
Medina,"58,080","60,816","64,371",7,4.7,5.8,67,OH
Meigs,"36,845","40,789","43,469",80,10.7,6.6,38,OH
Mercer,"50,173","54,089","59,089",11,7.8,9.2,1,OH
Miami,"48,319","51,963","54,947",21,7.5,5.7,71,OH
Monroe,"38,342","42,900","43,844",78,11.9,2.2,88,OH
Montgomery,"48,011","51,883","54,822",22,8.1,5.7,75,OH
Morgan,"35,887","40,418","43,249",81,12.6,7.0,26,OH
Morrow,"41,694","45,968","49,162",48,10.3,6.9,28,OH
Muskingum,"42,244","46,224","49,160",49,9.4,6.4,49,OH
Noble,"28,633","31,322","32,713",88,9.4,4.4,87,OH
Ottawa,"54,124","57,760","61,102",9,6.7,5.8,70,OH
Paulding,"41,315","45,740","48,972",51,10.7,7.1,25,OH
Perry,"39,486","43,130","46,028",69,9.2,6.7,33,OH
Pickaway,"42,334","46,614","49,425",45,10.1,6.0,58,OH
Pike,"39,758","43,639","46,730",64,9.8,7.1,24,OH
Portage,"46,092","49,221","51,995",36,6.8,5.6,77,OH
Preble,"41,128","45,111","48,600",53,9.7,7.7,6,OH
Putnam,"49,854","53,906","57,868",17,8.1,7.3,17,OH
Richland,"39,903","43,561","46,366",66,9.2,6.4,45,OH
Ross,"38,739","42,468","45,596",73,9.6,7.4,16,OH
Sandusky,"41,968","45,645","48,982",50,8.8,7.3,18,OH
Scioto,"41,291","43,698","46,946",62,5.8,7.4,13,OH
Seneca,"40,328","44,981","47,605",60,11.5,5.8,69,OH
Shelby,"45,896","49,486","52,547",32,7.8,6.2,52,OH
Stark,"45,901","49,197","52,426",33,7.2,6.6,39,OH
Summit,"53,540","57,035","60,771",10,6.5,6.6,41,OH
Trumbull,"40,338","43,700","46,356",67,8.3,6.1,57,OH
Tuscarawas,"44,215","47,139","50,625",39,6.6,7.4,15,OH
Union,"58,178","61,633","64,967",5,5.9,5.4,83,OH
Van Wert,"42,094","46,137","49,328",46,9.6,6.9,29,OH
Vinton,"35,464","39,672","42,290",85,11.9,6.6,37,OH
Warren,"62,927","66,080","69,581",3,5.0,5.3,84,OH
Washington,"44,669","47,691","50,549",40,6.8,6.0,61,OH
Wayne,"46,253","49,525","52,817",30,7.1,6.6,35,OH
Williams,"42,545","45,983","49,310",47,8.1,7.2,20,OH
Wood,"48,351","51,122","53,892",28,5.7,5.4,82,OH
Wyandot,"45,761","50,254","54,342",25,9.8,8.1,4,OH
,,,,,,,,
Oklahoma,"48,646","50,518","53,870",--,3.8,6.6,--,OK
Adair,"32,854","36,005","41,496",62,9.6,15.3,3,OK
Alfalfa,"38,514","40,128","43,695",51,4.2,8.9,20,OK
Atoka,"32,373","34,326","36,195",76,6.0,5.4,67,OK
Beaver,"55,602","56,870","65,668",5,2.3,15.5,2,OK
Beckham,"37,090","37,821","40,147",73,2.0,6.2,56,OK
Blaine,"47,191","45,732","53,081",13,-3.1,16.1,1,OK
Bryan,"37,796","40,318","43,871",48,6.7,8.8,21,OK
Caddo,"39,266","41,445","45,452",42,5.5,9.7,13,OK
Canadian,"46,536","47,987","50,309",20,3.1,4.8,73,OK
Carter,"43,831","45,673","48,733",26,4.2,6.7,50,OK
Cherokee,"35,544","37,729","40,638",69,6.1,7.7,33,OK
Choctaw,"33,313","36,804","40,395",71,10.5,9.8,12,OK
Cimarron,"61,841","62,184","68,769",2,0.6,10.6,9,OK
Cleveland,"45,294","47,292","49,946",22,4.4,5.6,63,OK
Coal,"40,247","40,718","44,170",45,1.2,8.5,23,OK
Comanche,"42,511","45,353","47,650",33,6.7,5.1,71,OK
Cotton,"45,057","49,068","51,300",16,8.9,4.5,75,OK
Craig,"39,611","41,011","43,958",46,3.5,7.2,39,OK
Creek,"42,775","45,323","47,927",30,6.0,5.7,62,OK
Custer,"41,388","42,941","46,226",39,3.8,7.7,35,OK
Delaware,"36,145","37,927","40,950",67,4.9,8.0,31,OK
Dewey,"53,322","51,015","53,807",11,-4.3,5.5,64,OK
Ellis,"55,054","53,911","57,564",9,-2.1,6.8,43,OK
Garfield,"43,701","44,850","48,861",24,2.6,8.9,18,OK
Garvin,"43,021","46,164","48,690",27,7.3,5.5,65,OK
Grady,"42,770","44,915","47,840",31,5.0,6.5,53,OK
Grant,"49,106","54,509","60,177",7,11.0,10.4,10,OK
Greer,"30,780","33,100","35,502",77,7.5,7.3,38,OK
Harmon,"41,603","45,852","51,088",18,10.2,11.4,8,OK
Harper,"54,839","52,763","54,555",10,-3.8,3.4,76,OK
Haskell,"36,002","37,707","42,506",57,4.7,12.7,7,OK
Hughes,"41,203","40,999","46,703",37,-0.5,13.9,4,OK
Jackson,"42,542","45,539","49,372",23,7.0,8.4,24,OK
Jefferson,"37,175","40,359","41,152",64,8.6,2.0,77,OK
Johnston,"37,159","40,616","43,246",54,9.3,6.5,54,OK
Kay,"41,547","44,804","47,817",32,7.8,6.7,46,OK
Kingfisher,"59,692","61,709","67,299",3,3.4,9.1,17,OK
Kiowa,"38,343","42,364","45,875",40,10.5,8.3,27,OK
Latimer,"36,760","38,117","40,932",68,3.7,7.4,36,OK
Le Flore,"34,678","36,472","40,214",72,5.2,10.3,11,OK
Lincoln,"38,990","41,876","44,687",43,7.4,6.7,47,OK
Logan,"44,296","45,694","48,559",28,3.2,6.3,55,OK
Love,"39,229","41,135","43,592",52,4.9,6.0,58,OK
McClain,"49,042","50,262","53,330",12,2.5,6.1,57,OK
McCurtain,"35,030","37,605","42,574",56,7.4,13.2,6,OK
McIntosh,"37,404","40,174","42,241",58,7.4,5.1,70,OK
Major,"42,600","43,220","47,185",34,1.5,9.2,16,OK
Marshall,"37,863","41,119","43,325",53,8.6,5.4,69,OK
Mayes,"38,676","41,812","44,615",44,8.1,6.7,48,OK
Murray,"43,630","45,070","48,831",25,3.3,8.3,25,OK
Muskogee,"38,355","40,934","43,699",50,6.7,6.8,45,OK
Noble,"45,429","47,928","51,172",17,5.5,6.8,44,OK
Nowata,"40,117","42,909","46,337",38,7.0,8.0,30,OK
Okfuskee,"32,870","34,939","37,839",75,6.3,8.3,26,OK
Oklahoma,"56,727","58,984","63,151",6,4.0,7.1,41,OK
Okmulgee,"36,446","38,936","41,808",61,6.8,7.4,37,OK
Osage,"37,056","39,439","42,015",60,6.4,6.5,52,OK
Ottawa,"38,936","42,066","45,484",41,8.0,8.1,28,OK
Pawnee,"38,894","41,104","43,859",49,5.7,6.7,49,OK
Payne,"39,008","41,541","43,952",47,6.5,5.8,60,OK
Pittsburg,"39,340","40,110","42,102",59,2.0,5.0,72,OK
Pontotoc,"45,338","48,300","51,619",15,6.5,6.9,42,OK
Pottawatomie,"40,419","42,897","46,730",36,6.1,8.9,19,OK
Pushmataha,"32,855","35,987","39,442",74,9.5,9.6,14,OK
Roger Mills,"43,864","46,890","50,590",19,6.9,7.9,32,OK
Rogers,"47,480","49,464","52,142",14,4.2,5.4,68,OK
Seminole,"35,993","38,386","41,119",65,6.6,7.1,40,OK
Sequoyah,"35,943","39,081","42,780",55,8.7,9.5,15,OK
Stephens,"43,968","45,647","48,328",29,3.8,5.9,59,OK
Texas,"52,877","51,093","58,194",8,-3.4,13.9,5,OK
Tillman,"38,397","37,561","40,610",70,-2.2,8.1,29,OK
Tulsa,"63,538","62,889","66,535",4,-1.0,5.8,61,OK
Wagoner,"43,020","45,032","47,142",35,4.7,4.7,74,OK
Washington,"58,893","73,262","78,103",1,24.4,6.6,51,OK
Washita,"36,697","38,035","40,961",66,3.6,7.7,34,OK
Woods,"44,862","46,245","50,198",21,3.1,8.5,22,OK
Woodward,"37,189","39,048","41,180",63,5.0,5.5,66,OK
,,,,,,,,
Oregon,"52,718","57,005","61,596",--,8.1,8.1,--,OR
Baker,"41,127","44,857","48,107",31,9.1,7.2,27,OR
Benton,"47,290","50,628","54,174",13,7.1,7.0,29,OR
Clackamas,"62,194","66,419","71,504",2,6.8,7.7,23,OR
Clatsop,"45,253","49,063","52,250",21,8.4,6.5,31,OR
Columbia,"45,762","49,273","53,573",15,7.7,8.7,7,OR
Coos,"46,736","51,557","55,759",10,10.3,8.2,18,OR
Crook,"43,670","47,093","50,708",25,7.8,7.7,22,OR
Curry,"45,002","48,934","53,044",16,8.7,8.4,15,OR
Deschutes,"58,666","63,872","67,743",4,8.9,6.1,34,OR
Douglas,"42,488","46,948","50,595",26,10.5,7.8,21,OR
Gilliam,"55,635","64,369","63,645",7,15.7,-1.1,36,OR
Grant,"42,841","47,602","50,870",24,11.1,6.9,30,OR
Harney,"40,504","44,912","49,257",29,10.9,9.7,4,OR
Hood River,"55,537","60,167","65,127",6,8.3,8.2,17,OR
Jackson,"47,774","52,410","56,842",8,9.7,8.5,12,OR
Jefferson,"36,078","39,948","43,145",34,10.7,8.0,19,OR
Josephine,"44,048","49,062","54,466",12,11.4,11.0,1,OR
Klamath,"40,236","44,133","48,050",32,9.7,8.9,6,OR
Lake,"40,872","44,274","47,066",33,8.3,6.3,32,OR
Lane,"46,752","51,272","55,146",11,9.7,7.6,24,OR
Lincoln,"45,542","48,876","52,482",20,7.3,7.4,26,OR
Linn,"44,501","48,357","52,695",18,8.7,9.0,5,OR
Malheur,"32,651","35,489","38,923",36,8.7,9.7,3,OR
Marion,"44,921","49,022","53,791",14,9.1,9.7,2,OR
Morrow,"46,189","48,990","51,670",22,6.1,5.5,35,OR
Multnomah,"59,993","64,858","70,331",3,8.1,8.4,13,OR
Polk,"43,012","45,835","49,781",28,6.6,8.6,10,OR
Sherman,"55,593","63,097","67,558",5,13.5,7.1,28,OR
Tillamook,"45,064","48,609","51,643",23,7.9,6.2,33,OR
Umatilla,"40,364","44,604","48,439",30,10.5,8.6,11,OR
Union,"42,107","46,076","50,053",27,9.4,8.6,8,OR
Wallowa,"44,689","48,880","52,999",17,9.4,8.4,14,OR
Wasco,"43,622","48,355","52,527",19,10.9,8.6,9,OR
Washington,"62,493","66,270","71,537",1,6.0,7.9,20,OR
Wheeler,"36,225","39,648","42,637",35,9.4,7.5,25,OR
Yamhill,"47,337","51,486","55,802",9,8.8,8.4,16,OR
,,,,,,,,
Pennsylvania,"56,952","60,685","64,279",--,6.6,5.9,--,PA
Adams,"49,380","52,801","55,752",24,6.9,5.6,42,PA
Allegheny,"63,478","66,702","70,580",5,5.1,5.8,35,PA
Armstrong,"46,020","50,598","54,198",32,9.9,7.1,11,PA
Beaver,"49,021","53,495","56,452",19,9.1,5.5,46,PA
Bedford,"42,995","46,031","49,916",52,7.1,8.4,1,PA
Berks,"50,657","55,045","57,970",17,8.7,5.3,51,PA
Blair,"47,034","51,007","54,470",29,8.4,6.8,15,PA
Bradford,"43,589","46,144","49,063",60,5.9,6.3,27,PA
Bucks,"75,056","79,239","83,011",3,5.6,4.8,61,PA
Butler,"60,060","63,693","67,203",6,6.0,5.5,47,PA
Cambria,"43,120","46,609","49,472",55,8.1,6.1,30,PA
Cameron,"46,309","51,527","54,352",31,11.3,5.5,50,PA
Carbon,"52,818","56,231","59,317",15,6.5,5.5,49,PA
Centre,"49,211","52,699","54,994",28,7.1,4.4,64,PA
Chester,"87,486","91,122","95,483",1,4.2,4.8,60,PA
Clarion,"43,226","47,111","49,611",53,9.0,5.3,52,PA
Clearfield,"45,050","49,517","52,478",36,9.9,6.0,32,PA
Clinton,"43,321","47,075","49,312",58,8.7,4.8,62,PA
Columbia,"43,624","47,565","50,176",50,9.0,5.5,48,PA
Crawford,"41,976","45,838","48,431",61,9.2,5.7,41,PA
Cumberland,"56,628","61,296","63,650",9,8.2,3.8,65,PA
Dauphin,"52,037","55,487","58,741",16,6.6,5.9,34,PA
Delaware,"69,433","72,700","77,180",4,4.7,6.2,29,PA
Elk,"46,954","51,310","51,653",39,9.3,0.7,67,PA
Erie,"45,883","49,969","52,747",35,8.9,5.6,45,PA
Fayette,"43,186","47,448","51,007",43,9.9,7.5,3,PA
Forest,"24,922","28,305","29,573",67,13.6,4.5,63,PA
Franklin,"48,017","51,665","55,139",27,7.6,6.7,17,PA
Fulton,"45,295","48,242","49,929",51,6.5,3.5,66,PA
Greene,"44,620","47,846","50,266",48,7.2,5.1,57,PA
Huntingdon,"39,855","44,087","46,331",66,10.6,5.1,56,PA
Indiana,"41,489","44,804","47,945",63,8.0,7.0,13,PA
Jefferson,"43,852","47,510","50,240",49,8.3,5.7,38,PA
Juniata,"47,788","52,855","56,422",20,10.6,6.7,16,PA
Lackawanna,"47,435","51,419","54,380",30,8.4,5.8,36,PA
Lancaster,"54,061","58,214","61,547",12,7.7,5.7,39,PA
Lawrence,"44,147","48,385","51,611",40,9.6,6.7,18,PA
Lebanon,"48,912","52,399","55,803",23,7.1,6.5,21,PA
Lehigh,"54,791","58,227","62,537",11,6.3,7.4,5,PA
Luzerne,"44,987","49,172","52,300",38,9.3,6.4,25,PA
Lycoming,"44,394","48,075","50,464",47,8.3,5.0,59,PA
McKean,"45,010","48,118","51,169",42,6.9,6.3,26,PA
Mercer,"42,598","46,310","49,311",59,8.7,6.5,22,PA
Mifflin,"40,116","44,040","46,768",65,9.8,6.2,28,PA
Monroe,"45,196","49,469","53,118",34,9.5,7.4,7,PA
Montgomery,"79,267","84,342","88,671",2,6.4,5.1,55,PA
Montour,"57,124","60,685","64,548",8,6.2,6.4,24,PA
Northampton,"56,142","59,080","63,256",10,5.2,7.1,12,PA
Northumberland,"42,391","46,431","49,525",54,9.5,6.7,19,PA
Perry,"46,931","50,363","53,700",33,7.3,6.6,20,PA
Philadelphia,"54,010","56,685","60,869",13,5.0,7.4,6,PA
Pike,"50,137","52,415","56,008",21,4.5,6.9,14,PA
Potter,"45,232","47,845","51,432",41,5.8,7.5,4,PA
Schuylkill,"42,971","46,834","49,451",56,9.0,5.6,43,PA
Snyder,"43,481","47,418","50,846",44,9.1,7.2,9,PA
Somerset,"42,173","45,843","48,135",62,8.7,5.0,58,PA
Sullivan,"49,647","52,767","55,564",25,6.3,5.3,53,PA
Susquehanna,"48,990","51,186","55,354",26,4.5,8.1,2,PA
Tioga,"41,371","44,366","47,572",64,7.2,7.2,10,PA
Union,"44,452","47,782","50,630",46,7.5,6.0,33,PA
Venango,"43,572","47,240","50,691",45,8.4,7.3,8,PA
Warren,"43,634","46,945","49,356",57,7.6,5.1,54,PA
Washington,"57,447","61,945","65,452",7,7.8,5.7,40,PA
Wayne,"45,567","49,187","52,351",37,7.9,6.4,23,PA
Westmoreland,"52,476","56,620","59,874",14,7.9,5.7,37,PA
Wyoming,"48,722","52,731","55,902",22,8.2,6.0,31,PA
York,"51,295","54,808","57,870",18,6.8,5.6,44,PA
,,,,,,,,
Rhode Island,"55,830","59,941","64,376",--,7.4,7.4,--,RI
Bristol,"78,427","82,053","87,810",1,4.6,7.0,2,RI
Kent,"60,103","63,582","67,906",4,5.8,6.8,4,RI
Newport,"73,416","78,693","84,054",2,7.2,6.8,3,RI
Providence,"48,251","52,324","56,429",5,8.4,7.8,1,RI
Washington,"68,280","72,917","77,855",3,6.8,6.8,5,RI
,,,,,,,,
South Carolina,"46,681","49,105","52,467",--,5.2,6.8,--,SC
Abbeville,"34,990","38,094","40,596",42,8.9,6.6,32,SC
Aiken,"45,459","48,208","51,057",11,6.0,5.9,37,SC
Allendale,"34,309","39,852","41,814",33,16.2,4.9,46,SC
Anderson,"41,621","43,933","46,894",20,5.6,6.7,30,SC
Bamberg,"36,074","38,795","41,081",39,7.5,5.9,38,SC
Barnwell,"35,568","38,813","41,828",32,9.1,7.8,23,SC
Beaufort,"63,489","66,301","70,166",2,4.4,5.8,41,SC
Berkeley,"43,510","45,454","48,919",15,4.5,7.6,24,SC
Calhoun,"43,214","46,304","50,375",14,7.2,8.8,12,SC
Charleston,"67,053","68,720","73,032",1,2.5,6.3,35,SC
Cherokee,"34,346","37,154","40,230",43,8.2,8.3,18,SC
Chester,"35,924","39,521","43,169",29,10.0,9.2,9,SC
Chesterfield,"34,058","36,209","39,538",45,6.3,9.2,10,SC
Clarendon,"37,054","40,794","44,874",24,10.1,10.0,5,SC
Colleton,"36,296","39,240","42,481",30,8.1,8.3,19,SC
Darlington,"41,182","44,051","47,845",17,7.0,8.6,16,SC
Dillon,"32,450","35,315","39,567",44,8.8,12.0,1,SC
Dorchester,"41,157","43,321","46,857",21,5.3,8.2,20,SC
Edgefield,"39,389","42,991","45,299",23,9.1,5.4,44,SC
Fairfield,"40,794","44,890","48,634",16,10.0,8.3,17,SC
Florence,"44,609","47,692","51,554",10,6.9,8.1,21,SC
Georgetown,"50,433","53,677","57,656",3,6.4,7.4,25,SC
Greenville,"50,680","52,376","55,442",5,3.3,5.9,40,SC
Greenwood,"38,712","41,762","44,723",25,7.9,7.1,28,SC
Hampton,"33,314","38,107","41,689",34,14.4,9.4,7,SC
Horry,"41,360","44,241","46,817",22,7.0,5.8,42,SC
Jasper,"35,901","39,314","41,531",35,9.5,5.6,43,SC
Kershaw,"44,272","46,901","50,635",12,5.9,8.0,22,SC
Lancaster,"53,991","51,986","55,033",7,-3.7,5.9,39,SC
Laurens,"36,102","38,476","41,245",38,6.6,7.2,26,SC
Lee,"33,989","37,142","41,364",37,9.3,11.4,2,SC
Lexington,"49,874","51,900","55,304",6,4.1,6.6,33,SC
McCormick,"39,739","42,206","44,391",27,6.2,5.2,45,SC
Marion,"34,745","37,956","41,519",36,9.2,9.4,8,SC
Marlboro,"31,256","34,189","37,933",46,9.4,11.0,3,SC
Newberry,"40,342","43,190","46,917",19,7.1,8.6,15,SC
Oconee,"46,804","48,945","52,336",9,4.6,6.9,29,SC
Orangeburg,"35,639","38,860","42,376",31,9.0,9.0,11,SC
Pickens,"39,339","41,135","43,842",28,4.6,6.6,31,SC
Richland,"47,123","49,808","52,980",8,5.7,6.4,34,SC
Saluda,"37,994","40,423","44,503",26,6.4,10.1,4,SC
Spartanburg,"45,010","47,641","50,596",13,5.8,6.2,36,SC
Sumter,"40,042","42,961","47,046",18,7.3,9.5,6,SC
Union,"34,503","37,527","40,821",40,8.8,8.8,14,SC
Williamsburg,"33,664","37,456","40,746",41,11.3,8.8,13,SC
York,"50,047","52,800","56,566",4,5.5,7.1,27,SC
,,,,,,,,
South Dakota,"55,294","60,446","64,462",--,9.3,6.6,--,SD
Aurora,"40,181","48,166","54,512",48,19.9,13.2,17,SD
Beadle,"48,558","52,156","55,409",47,7.4,6.2,47,SD
Bennett,"36,061","42,172","46,894",58,16.9,11.2,24,SD
Bon Homme,"40,638","42,965","47,665",56,5.7,10.9,28,SD
Brookings,"48,112","51,581","53,860",50,7.2,4.4,59,SD
Brown,"56,126","63,550","66,044",23,13.2,3.9,63,SD
Brule,"45,995","53,397","59,267",40,16.1,11.0,27,SD
Buffalo,"20,104","25,764","32,773",65,28.2,27.2,2,SD
Butte,"40,729","44,148","45,885",59,8.4,3.9,62,SD
Campbell,"46,144","67,948","79,723",6,47.3,17.3,8,SD
Charles Mix,"40,561","45,485","50,673",54,12.1,11.4,23,SD
Clark,"47,342","69,360","71,383",16,46.5,2.9,65,SD
Clay,"39,918","42,439","47,288",57,6.3,11.4,22,SD
Codington,"51,821","56,540","59,387",39,9.1,5.0,53,SD
Corson,"27,953","31,967","38,834",62,14.4,21.5,5,SD
Custer,"53,960","57,307","59,756",38,6.2,4.3,61,SD
Davison,"52,030","55,929","59,258",41,7.5,6.0,50,SD
Day,"46,021","62,749","65,558",26,36.3,4.5,57,SD
Deuel,"50,684","60,006","62,580",33,18.4,4.3,60,SD
Dewey,"41,097","50,885","54,255",49,23.8,6.6,45,SD
Douglas,"59,865","61,017","67,626",21,1.9,10.8,29,SD
Edmunds,"52,408","64,747","77,988",8,23.5,20.5,6,SD
Fall River,"45,904","48,905","51,225",51,6.5,4.7,54,SD
Faulk,"58,078","68,854","80,152",5,18.6,16.4,11,SD
Grant,"51,119","58,307","63,935",31,14.1,9.7,33,SD
Gregory,"46,928","53,369","57,305",46,13.7,7.4,40,SD
Haakon,"47,567","68,305","74,530",13,43.6,9.1,34,SD
Hamlin,"44,375","52,353","57,440",44,18.0,9.7,31,SD
Hand,"53,790","66,367","75,506",12,23.4,13.8,16,SD
Hanson,"65,767","71,333","77,579",9,8.5,8.8,38,SD
Harding,"51,121","49,327","60,414",36,-3.5,22.5,4,SD
Hughes,"53,823","55,955","61,666",34,4.0,10.2,30,SD
Hutchinson,"56,256","58,623","65,945",24,4.2,12.5,19,SD
Hyde,"48,738","63,924","70,095",18,31.2,9.7,32,SD
Jackson,"30,066","35,221","39,102",61,17.1,11.0,26,SD
Jerauld,"42,449","54,371","62,655",32,28.1,15.2,12,SD
Jones,"55,122","57,309","86,307",4,4.0,50.6,1,SD
Kingsbury,"55,601","66,824","70,430",17,20.2,5.4,52,SD
Lake,"57,067","64,650","69,817",19,13.3,8.0,39,SD
Lawrence,"54,648","57,791","60,510",35,5.8,4.7,55,SD
Lincoln,"69,978","73,915","77,245",10,5.6,4.5,56,SD
Lyman,"42,109","47,700","57,365",45,13.3,20.3,7,SD
McCook,"53,326","59,210","67,402",22,11.0,13.8,15,SD
McPherson,"41,577","55,802","65,047",28,34.2,16.6,10,SD
Marshall,"54,896","71,354","72,571",15,30.0,1.7,66,SD
Meade,"43,775","47,918","50,972",52,9.5,6.4,46,SD
Mellette,"31,049","35,580","43,805",60,14.6,23.1,3,SD
Miner,"47,793","58,389","65,438",27,22.2,12.1,21,SD
Minnehaha,"62,031","66,044","69,693",20,6.5,5.5,51,SD
Moody,"52,556","61,461","65,719",25,16.9,6.9,44,SD
Oglala Lakota,"26,352","30,527","34,333",64,15.8,12.5,20,SD
Pennington,"56,872","61,312","64,035",30,7.8,4.4,58,SD
Perkins,"40,031","46,484","50,692",53,16.1,9.1,35,SD
Potter,"68,426","81,156","87,031",3,18.6,7.2,42,SD
Roberts,"37,764","46,077","50,205",55,22.0,9.0,36,SD
Sanborn,"53,894","62,682","64,677",29,16.3,3.2,64,SD
Spink,"55,538","71,992","76,434",11,29.6,6.2,49,SD
Stanley,"66,010","66,966","78,300",7,1.4,16.9,9,SD
Sully,"75,293","100,044","106,241",2,32.9,6.2,48,SD
Todd,"28,052","31,093","35,663",63,10.8,14.7,14,SD
Tripp,"47,916","53,339","60,022",37,11.3,12.5,18,SD
Turner,"61,701","63,596","73,093",14,3.1,14.9,13,SD
Union,"118,994","125,786","134,811",1,5.7,7.2,43,SD
Walworth,"46,362","54,683","58,681",43,17.9,7.3,41,SD
Yankton,"51,256","54,361","59,224",42,6.1,8.9,37,SD
Ziebach,"20,352","27,459","30,532",66,34.9,11.2,25,SD
,,,,,,,,
Tennessee,"49,343","52,351","56,560",--,6.1,8.0,--,TN
Anderson,"44,090","47,198","50,901",17,7.0,7.8,52,TN
Bedford,"39,243","41,608","46,083",40,6.0,10.8,9,TN
Benton,"35,071","38,021","40,963",68,8.4,7.7,55,TN
Bledsoe,"28,598","30,830","33,675",94,7.8,9.2,26,TN
Blount,"45,860","49,002","52,596",11,6.9,7.3,60,TN
Bradley,"40,228","43,319","46,409",38,7.7,7.1,65,TN
Campbell,"35,824","38,706","42,471",56,8.0,9.7,18,TN
Cannon,"37,663","40,263","44,419",46,6.9,10.3,11,TN
Carroll,"36,312","37,686","40,502",72,3.8,7.5,58,TN
Carter,"35,153","37,632","40,739",71,7.1,8.3,46,TN
Cheatham,"47,099","49,389","54,069",10,4.9,9.5,22,TN
Chester,"35,315","39,057","41,568",62,10.6,6.4,79,TN
Claiborne,"36,464","39,045","42,542",55,7.1,9.0,30,TN
Clay,"32,550","34,540","40,338",76,6.1,16.8,1,TN
Cocke,"33,984","37,322","40,384",74,9.8,8.2,47,TN
Coffee,"41,181","43,805","46,299",39,6.4,5.7,91,TN
